#Frame         Rg_all  Rg_all[Max]
     710      17.4361      35.5805
     712      17.4324      35.4865
     714      17.4309      35.7896
     716      17.4237      35.2969
     718      17.4509      35.3671
     720      17.4284      35.3232
     722      17.4258      35.5219
     724      17.4263      35.9718
     726      17.4337      35.5826
     728      17.4439      35.7185
     730      17.4429      35.4593
     732      17.4265      35.2689
     734      17.4279      35.7766
     736      17.4377      35.6978
     738      17.4403      35.4980
     740      17.4500      35.7369
     742      17.4509      35.6511
     744      17.4260      35.3125
     746      17.4300      35.6801
     748      17.4410      35.5254
     750      17.4419      35.8062
     752      17.4339      35.5269
     754      17.4425      36.0674
     756      17.4316      35.7729
     758      17.4331      35.5768
     760      17.4400      35.5755
     762      17.4256      35.8170
     764      17.4296      35.4795
     766      17.4363      35.7435
     768      17.4340      35.3097
     770      17.4335      35.5237
     772      17.4440      35.5691
     774      17.4299      35.7069
     776      17.4376      35.4061
     778      17.4236      35.7543
     780      17.4500      35.3073
     782      17.4396      35.8138
     784      17.4325      35.5162
     786      17.4336      35.4478
     788      17.4457      35.5948
     790      17.4329      35.3910
     792      17.4270      35.1719
     794      17.4403      35.4384
     796      17.4485      35.8036
     798      17.4363      35.4794
     800      17.4354      35.5978
     802      17.4261      35.7435
     804      17.4246      35.7182
     806      17.4287      35.6539
     808      17.4279      35.4072
     810      17.4284      35.5030
     812      17.4397      35.4699
     814      17.4421      36.0912
     816      17.4152      35.0973
     818      17.4362      35.3795
     820      17.4528      35.9364
     822      17.4158      35.6228
     824      17.4463      35.6418
     826      17.4198      35.6964
     828      17.4261      35.4102
     830      17.4422      35.6014
     832      17.4315      35.3720
     834      17.4415      35.8296
     836      17.4351      35.6447
     838      17.4430      36.0006
     840      17.4484      35.8050
     842      17.4390      35.6096
     844      17.4386      35.2894
     846      17.4359      35.4806
     848      17.4310      35.7446
     850      17.4305      35.6821
     852      17.4379      35.5355
     854      17.4366      35.2029
     856      17.4272      35.2829
     858      17.4381      35.6587
     860      17.4302      35.4781
     862      17.4351      35.4308
     864      17.4431      35.4633
     866      17.4305      35.7522
     868      17.4446      35.6872
     870      17.4472      35.7110
     872      17.4211      35.7206
     874      17.4435      35.4158
     876      17.4314      35.7132
     878      17.4463      35.5163
     880      17.4301      35.4929
     882      17.4530      35.5358
     884      17.4403      35.6729
     886      17.4414      35.8926
     888      17.4531      35.6254
     890      17.4288      35.5362
     892      17.4395      35.8615
     894      17.4228      35.4608
     896      17.4311      35.3788
     898      17.4486      35.5243
     900      17.4345      35.5656
     902      17.4413      36.0000
     904      17.4375      35.6386
     906      17.4477      35.8592
     908      17.4351      35.5774
     910      17.4302      35.5540
     912      17.4426      35.2076
     914      17.4249      35.5189
     916      17.4327      35.2298
     918      17.4352      35.8671
     920      17.4369      35.3282
     922      17.4400      35.5440
     924      17.4244      35.7247
     926      17.4400      35.9065
     928      17.4418      35.8784
     930      17.4338      35.7253
     932      17.4395      35.5130
     934      17.4379      35.3967
     936      17.4448      35.5989
     938      17.4585      35.7621
