#Frame     3.5[lower]   3.5[upper]
    1137            0            1
    1138            0            1
    1139            1            1
    1140            1            2
    1141            1            1
    1142            1            2
    1143            1            1
    1144            1            1
    1145            0            2
    1146            0            0
    1147            0            2
    1148            0            0
    1149            0            0
    1150            0            1
    1151            0            0
    1152            0            0
    1153            0            0
    1154            0            0
    1155            0            0
    1156            0            0
    1157            0            2
    1158            1            2
    1159            1            1
    1160            1            2
    1161            0            2
    1162            1            2
    1163            1            3
    1164            1            1
    1165            1            1
    1166            0            0
    1167            0            0
    1168            0            0
    1169            0            0
    1170            0            0
    1171            0            0
    1172            0            0
    1173            0            0
    1174            0            0
    1175            0            0
    1176            0            0
    1177            0            0
    1178            0            0
    1179            1            1
    1180            0            0
    1181            0            0
    1182            0            0
    1183            0            0
    1184            0            0
    1185            0            0
    1186            0            0
    1187            0            0
    1188            0            1
    1189            1            1
    1190            1            2
    1191            1            1
    1192            1            1
    1193            1            2
    1194            1            1
    1195            1            2
    1196            1            2
    1197            1            1
    1198            1            1
    1199            1            1
    1200            1            1
    1201            1            1
    1202            1            2
    1203            1            1
    1204            1            1
    1205            1            1
    1206            1            1
    1207            1            1
    1208            1            2
    1209            1            1
    1210            1            1
    1211            1            1
    1212            1            2
    1213            1            1
    1214            1            1
    1215            1            1
    1216            1            1
    1217            1            1
    1218            1            1
    1219            1            1
    1220            1            1
    1221            0            1
    1222            1            1
    1223            1            1
    1224            1            1
    1225            1            1
    1226            1            1
    1227            1            1
    1228            0            0
    1229            0            0
    1230            0            0
    1231            0            1
    1232            0            0
    1233            0            2
    1234            0            1
    1235            1            1
    1236            1            2
    1237            0            1
    1238            1            1
    1239            1            2
    1240            1            1
    1241            1            2
    1242            1            1
    1243            1            1
    1244            1            2
    1245            1            2
    1246            1            1
    1247            1            1
    1248            1            1
    1249            1            2
    1250            1            1
    1251            1            1
    1252            1            1
    1253            1            2
    1254            1            3
    1255            0            1
    1256            1            1
    1257            1            1
    1258            1            1
    1259            1            1
    1260            1            2
    1261            1            1
    1262            1            2
    1263            1            1
    1264            1            1
    1265            0            1
    1266            1            1
    1267            0            1
    1268            1            1
    1269            1            1
    1270            1            1
    1271            1            1
    1272            1            1
    1273            1            1
    1274            1            1
    1275            1            1
    1276            1            1
    1277            1            2
    1278            1            1
    1279            1            2
    1280            1            2
    1281            1            2
    1282            1            1
    1283            1            2
    1284            1            2
    1285            1            2
    1286            1            1
    1287            1            1
    1288            0            2
    1289            0            0
    1290            0            2
    1291            0            2
    1292            0            2
    1293            0            2
    1294            0            2
    1295            0            1
    1296            0            0
    1297            0            2
    1298            0            1
    1299            0            2
    1300            1            1
    1301            1            2
    1302            0            1
    1303            1            1
    1304            0            1
    1305            0            0
    1306            0            0
    1307            0            0
    1308            0            1
    1309            0            1
    1310            0            1
    1311            1            2
    1312            0            1
    1313            1            2
    1314            1            1
    1315            1            1
    1316            1            2
    1317            1            3
    1318            1            1
    1319            1            1
    1320            1            2
    1321            2            2
    1322            2            3
    1323            2            4
    1324            2            3
    1325            2            3
    1326            2            2
    1327            2            3
    1328            2            2
    1329            2            2
    1330            2            3
    1331            2            3
    1332            2            4
    1333            2            4
    1334            2            3
    1335            2            3
    1336            2            3
    1337            2            2
    1338            2            2
    1339            2            3
    1340            2            2
    1341            2            2
    1342            2            2
    1343            2            2
    1344            2            2
    1345            2            4
    1346            2            4
