#Frame     3.5[lower]   3.5[upper]
    1022            1            3
    1023            1            3
    1024            0            2
    1025            0            3
    1026            0            2
    1027            0            3
    1028            0            2
    1029            0            3
    1030            1            2
    1031            0            2
    1032            0            2
    1033            0            3
    1034            1            3
    1035            0            4
    1036            1            3
    1037            1            2
    1038            1            3
    1039            0            2
    1040            0            3
    1041            0            2
    1042            1            3
    1043            0            1
    1044            0            3
    1045            0            3
    1046            0            2
    1047            0            2
    1048            0            3
    1049            1            3
    1050            0            3
    1051            1            3
    1052            1            4
    1053            0            4
    1054            0            2
    1055            0            1
    1056            0            2
    1057            1            3
    1058            0            1
    1059            0            2
    1060            0            1
    1061            0            2
    1062            2            3
    1063            1            4
    1064            0            3
    1065            0            4
    1066            1            3
    1067            0            4
    1068            0            3
    1069            1            3
    1070            1            3
    1071            0            3
    1072            0            4
    1073            1            2
    1074            1            5
    1075            0            3
    1076            1            4
    1077            0            4
    1078            0            3
    1079            1            2
    1080            0            4
    1081            0            3
    1082            1            4
    1083            1            4
    1084            0            2
    1085            0            1
    1086            0            3
    1087            0            2
    1088            0            3
    1089            0            2
    1090            0            2
    1091            1            4
    1092            0            3
    1093            0            2
    1094            0            3
    1095            0            3
    1096            1            3
    1097            0            1
    1098            0            2
    1099            0            3
    1100            0            3
    1101            0            2
    1102            0            4
    1103            2            3
    1104            1            4
    1105            2            5
    1106            0            3
    1107            0            3
    1108            1            3
    1109            1            3
    1110            0            3
    1111            0            2
    1112            0            3
    1113            0            2
    1114            1            3
    1115            1            4
    1116            1            3
    1117            0            4
    1118            1            4
    1119            1            4
    1120            1            4
    1121            2            4
    1122            2            4
    1123            0            4
    1124            0            3
    1125            0            2
    1126            0            3
    1127            0            2
    1128            0            3
    1129            0            3
    1130            2            3
    1131            2            3
    1132            2            4
    1133            1            3
    1134            1            3
    1135            2            3
    1136            1            3
    1137            0            3
    1138            1            3
    1139            0            4
    1140            0            4
    1141            0            3
    1142            0            3
    1143            0            3
    1144            0            4
    1145            1            3
    1146            0            3
    1147            1            2
    1148            0            3
    1149            0            3
    1150            2            5
    1151            1            5
    1152            3            7
    1153            2            5
    1154            3            7
    1155            2            8
    1156            2            5
    1157            1            3
    1158            1            2
    1159            1            4
    1160            0            4
    1161            1            3
    1162            2            4
    1163            1            4
    1164            0            3
    1165            0            3
    1166            0            3
    1167            0            4
    1168            0            3
    1169            0            3
    1170            0            3
    1171            1            2
    1172            0            2
    1173            0            3
    1174            0            2
    1175            0            3
    1176            0            3
    1177            1            2
    1178            0            1
